0	40	50	0	0	1440	0	0
1	52	75	10	311	471	90	1
2	45	70	30	213	373	90	0
3	62	69	10	67	227	90	0
4	60	66	10	1061	1221	90	1
5	42	65	10	25	185	90	0
6	16	42	20	497	657	90	1
7	58	70	20	1073	1233	90	0
8	34	60	20	887	1047	90	1
9	28	70	10	601	761	90	0
10	35	66	10	791	951	90	0
11	35	69	10	698	858	90	0
12	25	85	20	1119	1279	90	0
13	22	75	30	405	565	90	0
14	22	85	10	26	186	90	0
15	20	80	40	216	376	90	1
16	20	85	40	934	1094	90	0
17	18	75	20	311	471	90	0
18	15	75	20	742	902	90	1
19	15	80	10	837	997	90	0
20	30	50	10	10	170	90	0
21	30	56	20	983	1143	90	0
22	28	52	20	22	182	90	0
23	14	66	10	643	803	90	0
24	25	50	10	116	276	90	0
25	22	66	40	504	664	90	0
26	8	62	10	545	705	90	1
27	23	52	10	209	369	90	0
28	4	55	20	1047	1207	90	1
29	20	50	10	398	558	90	0
30	20	55	10	303	463	90	0
31	10	35	20	781	941	90	1	
32	10	40	30	593	753	90	0
33	8	40	40	685	845	90	0
34	8	45	20	1046	1206	90	0
35	5	35	10	876	1036	90	1
36	5	45	10	1153	1313	90	0
37	2	40	20	971	1131	90	0
38	0	40	30	1063	1223	90	0
39	0	45	20	158	318	90	1
40	36	18	10	819	979	90	0
