0	40	50	0	0	1440	0	0
1	52	75	10	311	471	90	1
2	45	70	30	213	373	90	0
3	62	69	10	67	227	90	0
4	60	66	10	1061	1221	90	1
5	42	65	10	25	185	90	0
6	16	42	20	497	657	90	1
7	58	70	20	1073	1233	90	0
8	34	60	20	887	1047	90	1
9	28	70	10	601	761	90	0
10	35	66	10	791	951	90	0
11	35	69	10	698	858	90	0
12	25	85	20	1119	1279	90	0
13	22	75	30	405	565	90	0
14	22	85	10	26	186	90	0
15	20	80	40	216	376	90	1
16	20	85	40	934	1094	90	0
17	18	75	20	311	471	90	0
18	15	75	20	742	902	90	1
19	15	80	10	837	997	90	0
20	30	50	10	10	170	90	0
